batch_id	item_id	foundation_entity	foundation_label	mondo_class	mondo_label	synonym_text	scope_property	mondo_xref	scope_mapping	icd_annotation_property	generated_by_pattern	pattern_version	generated_at_time	attributed_to	review_decision	reviewer	review_date
2026-Q3-syn-infectious-01	SYN-0001	http://id.who.int/icd/entity/257068234	Cholera	MONDO:0005173	cholera	Asiatic cholera	oboInOwl:hasExactSynonym	DOID:1498	exact→title/synonym	icd:synonym	synonym_enrichment_from_mondo	1.2.0	2026-07-15T09:22:00Z	https://orcid.org/0000-0002-0295-7821	accepted	WHO-FIC editorial board	2026-07-20
2026-Q3-syn-infectious-01	SYN-0002	http://id.who.int/icd/entity/257068234	Cholera	MONDO:0005173	cholera	epidemic cholera	oboInOwl:hasExactSynonym	MESH:D002771	exact→title/synonym	icd:synonym	synonym_enrichment_from_mondo	1.2.0	2026-07-15T09:22:00Z	https://orcid.org/0000-0002-0295-7821	accepted	WHO-FIC editorial board	2026-07-20
2026-Q3-syn-infectious-01	SYN-0003	http://id.who.int/icd/entity/257068234	Cholera	MONDO:0005173	cholera	Vibrio cholerae infection	oboInOwl:hasNarrowSynonym	NCIt:C128388	narrow→inclusionTerm	icd:inclusionTerm	synonym_enrichment_from_mondo	1.2.0	2026-07-15T09:22:00Z	https://orcid.org/0000-0002-0295-7821	accepted	WHO-FIC editorial board	2026-07-20
2026-Q3-syn-infectious-01	SYN-0004	http://id.who.int/icd/entity/588616678	Typhoid fever	MONDO:0005112	typhoid fever	enteric fever	oboInOwl:hasExactSynonym	MESH:D014435	exact→title/synonym	icd:synonym	synonym_enrichment_from_mondo	1.2.0	2026-07-15T09:22:00Z	https://orcid.org/0000-0002-0295-7821	accepted	WHO-FIC editorial board	2026-07-20
2026-Q3-syn-infectious-01	SYN-0005	http://id.who.int/icd/entity/588616678	Typhoid fever	MONDO:0005112	typhoid fever	typhoid	oboInOwl:hasExactSynonym	DOID:13258	exact→title/synonym	icd:synonym	synonym_enrichment_from_mondo	1.2.0	2026-07-15T09:22:00Z	https://orcid.org/0000-0002-0295-7821	accepted	WHO-FIC editorial board	2026-07-20
2026-Q3-syn-infectious-01	SYN-0006	http://id.who.int/icd/entity/588616678	Typhoid fever	MONDO:0005112	typhoid fever	Salmonella typhi infection	oboInOwl:hasNarrowSynonym	NCIt:C128392	narrow→inclusionTerm	icd:inclusionTerm	synonym_enrichment_from_mondo	1.2.0	2026-07-15T09:22:00Z	https://orcid.org/0000-0002-0295-7821	accepted	WHO-FIC editorial board	2026-07-20
2026-Q3-syn-infectious-01	SYN-0007	http://id.who.int/icd/entity/1206028912	Shigellosis	MONDO:0005149	shigellosis	bacillary dysentery	oboInOwl:hasExactSynonym	MESH:D004405	exact→title/synonym	icd:synonym	synonym_enrichment_from_mondo	1.2.0	2026-07-15T09:22:00Z	https://orcid.org/0000-0002-0295-7821	accepted	WHO-FIC editorial board	2026-07-20
2026-Q3-syn-infectious-01	SYN-0008	http://id.who.int/icd/entity/1206028912	Shigellosis	MONDO:0005149	shigellosis	Shigella infection	oboInOwl:hasNarrowSynonym	NCIt:C84947	narrow→inclusionTerm	icd:inclusionTerm	synonym_enrichment_from_mondo	1.2.0	2026-07-15T09:22:00Z	https://orcid.org/0000-0002-0295-7821	accepted	WHO-FIC editorial board	2026-07-20
2026-Q3-syn-infectious-01	SYN-0009	http://id.who.int/icd/entity/42335174	Amoebiasis	MONDO:0006570	amebiasis	amoebic dysentery	oboInOwl:hasExactSynonym	DOID:9537	exact→title/synonym	icd:synonym	synonym_enrichment_from_mondo	1.2.0	2026-07-15T09:22:00Z	https://orcid.org/0000-0002-0295-7821	accepted	WHO-FIC editorial board	2026-07-20
2026-Q3-syn-infectious-01	SYN-0010	http://id.who.int/icd/entity/42335174	Amoebiasis	MONDO:0006570	amebiasis	Entamoeba histolytica infection	oboInOwl:hasNarrowSynonym	NCIt:C128401	narrow→inclusionTerm	icd:inclusionTerm	synonym_enrichment_from_mondo	1.2.0	2026-07-15T09:22:00Z	https://orcid.org/0000-0002-0295-7821	accepted	WHO-FIC editorial board	2026-07-20
