filler_source	filler_id	filler_label	icd_axis	icd11_extension_code	icd11_label	mapping_status	mapping_confidence	notes
# ══════════════════════════════════════════════════════════════════
# INFECTIOUS AGENTS (NCBITaxon → ICD-11 XN codes)
# 142 distinct fillers; 118 mapped, 24 proposed
# ══════════════════════════════════════════════════════════════════
# ── BACTERIA (55 organisms) ──
NCBITaxon	NCBITaxon:666	Vibrio cholerae	icd:infectiousAgent	XN1CH	Vibrio cholerae	exact	1.0
NCBITaxon	NCBITaxon:90371	Salmonella enterica serovar Typhi	icd:infectiousAgent	XN0HC	Salmonella typhi	exact	1.0	ICD-11 uses older nomenclature
NCBITaxon	NCBITaxon:54388	Salmonella enterica serovar Paratyphi A	icd:infectiousAgent	XN87K	Salmonella paratyphi A	exact	1.0
NCBITaxon	NCBITaxon:54389	Salmonella enterica serovar Paratyphi B	icd:infectiousAgent	XN1Y9	Salmonella paratyphi B	exact	1.0
NCBITaxon	NCBITaxon:54390	Salmonella enterica serovar Paratyphi C	icd:infectiousAgent	XN6N3	Salmonella paratyphi C	exact	1.0
NCBITaxon	NCBITaxon:620	Shigella	icd:infectiousAgent	XN1AV	Shigella	exact	1.0	Genus level
NCBITaxon	NCBITaxon:615	Shigella dysenteriae	icd:infectiousAgent	XN6E7	Shigella dysenteriae	exact	1.0
NCBITaxon	NCBITaxon:622	Shigella flexneri	icd:infectiousAgent	XN1F9	Shigella flexneri	exact	1.0
NCBITaxon	NCBITaxon:623	Shigella boydii	icd:infectiousAgent	XN7X0	Shigella boydii	exact	1.0
NCBITaxon	NCBITaxon:624	Shigella sonnei	icd:infectiousAgent	XN5L8	Shigella sonnei	exact	1.0
NCBITaxon	NCBITaxon:632	Yersinia pestis	icd:infectiousAgent	XN0QJ	Yersinia pestis	exact	1.0
NCBITaxon	NCBITaxon:1773	Mycobacterium tuberculosis	icd:infectiousAgent	XN6B4	Mycobacterium tuberculosis	exact	1.0
NCBITaxon	NCBITaxon:1769	Mycobacterium leprae	icd:infectiousAgent	XN6Q5	Mycobacterium leprae	exact	1.0
NCBITaxon	NCBITaxon:1809	Mycobacterium ulcerans	icd:infectiousAgent	XN3G9	Mycobacterium ulcerans	exact	1.0
NCBITaxon	NCBITaxon:1717	Corynebacterium diphtheriae	icd:infectiousAgent	XN7T0	Corynebacterium diphtheriae	exact	1.0
NCBITaxon	NCBITaxon:520	Bordetella pertussis	icd:infectiousAgent	XN8HJ	Bordetella pertussis	exact	1.0
NCBITaxon	NCBITaxon:1513	Clostridium tetani	icd:infectiousAgent	XN3R4	Clostridium tetani	exact	1.0
NCBITaxon	NCBITaxon:1491	Clostridium botulinum	icd:infectiousAgent	XN0UQ	Clostridium botulinum	exact	1.0
NCBITaxon	NCBITaxon:727	Haemophilus influenzae	icd:infectiousAgent	XN2G4	Haemophilus influenzae	exact	1.0
NCBITaxon	NCBITaxon:1313	Streptococcus pneumoniae	icd:infectiousAgent	XN7V5	Streptococcus pneumoniae	exact	1.0
NCBITaxon	NCBITaxon:487	Neisseria meningitidis	icd:infectiousAgent	XN2R4	Neisseria meningitidis	exact	1.0
NCBITaxon	NCBITaxon:485	Neisseria gonorrhoeae	icd:infectiousAgent	XN5EH	Neisseria gonorrhoeae	exact	1.0
